number,name,protein_group,ingredients,locations_count
508,KATE SPADE (Tempe ASU Exclusive),Vegan - chicken,"Vegan Chicken, Ike's Sun Devil Sauce, American",1
516,KOHL MANSION (Burlingame Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's B-Game Sauce, Swiss",1
889,LOU BROWN (Costa Mesa Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Loco Chicken Sauce, Pepper Jack",1
653,MARE ISLAND (Vallejo Exclusive),Vegan - chicken,"Vegan Chicken, Ike's Valley Joe Sauce, Pepper Jack",1
648,MARGE SIMPSON (Salinas Exclusive),Vegan - chicken,"Vegan Fried Chicken, Buffalo Wing Sauce, Ike's Chunky Blue Cheese Dressing",1
735,MARY ASHLEY (Sherman Oaks Exclusive),Vegan - chicken,"Vegan Chicken, Ike's Mango Habanero Teriyaki, Swiss",1
217,NATALIE WOOD,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Cheddar",1
838,NEWTONARDS (Arrowhead Exclusive),Vegan - chicken,"Vegan Fried Chicken, Purple Slaw, Ike's Peoria BBQ Sauce, American",1
292,PIRATES OF THE CARIBBEAN,Vegan - chicken,"Vegan Chicken, Zesty Orange Glaze, Pepper Jack",1
966,PLOWMAN (Pflugerville Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Pfeastmode Mustard, Swiss",1
637,ROADRUNNER (Fresno Palmdon Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Tangy Spicy BBQ Sauce, American",1
862,SANDRAC (Legacy Village Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Desert Dream Chipotle, Purple Slaw, Gouda",1
938,SHANE LIZARD,Vegan - chicken,"Vegan Fried Chicken, Marinara, Real Honey, Provolone",1
960,STRAIGHT FROM THE HEART (Marina Del Rey Exclusive),Vegan - chicken,"Vegan Chicken, Ike's Port Ballona Buffalo Sauce, Pepper Jack",1
832,SUNNY CAME HOME (Mueller Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Creamy Orange Buffalo Sauce, Cheddar",1
489,SUNNYBROOK FARM (Pleasanton Exclusive),Vegan - chicken,"Vegan Fried Chicken, Purple Slaw, Ike's Spicy Sycamore Sauce, Gouda",1
645,SUSAN MURPHY (Modesto Exclusive),Vegan - chicken,"Vegan Chicken, Ike's Sweet Wing Sauce, Provolone",1
539,TALBERT (Fountain Valley Exclusive),Vegan - chicken,"Vegan Chicken, Ike's Spicy Teriyaki, Provolone",1
951,THE AVIATOR (Culver City Exclusive),Vegan - chicken,"Vegan Fried Chicken, Southwest Pesto Ranch, Swiss",1
296,THE BRONCO,Vegan - chicken,"Vegan Chicken, Red Pesto, Ranch, Pepper Jack",1
296,THE BRUIN,Vegan - chicken,"Vegan Chicken, Red Pesto, Ranch, Pepper Jack",1
644,THE DARK PHONIEX (Oakland Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Horseradish Wing Sauce, Pepper Jack",1
509,THE MURPH (Hillcrest Exclusive),Vegan - chicken,"Vegan Fried Chicken, Marinated Artichoke Hearts, Ike's Seau Sauce, Provolone",1
296,THE SPARTAN,Vegan - chicken,"Vegan Chicken, Red Pesto, Ranch, Pepper Jack",1
698,THE UNBEATABLE SQUIRREL GIRL (Santa Clara Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Santa Clara BBQ, American",1
983,THREE-LEGGED WILLIE (Georgetown Exclusive),Vegan - chicken,"Vegan Fried Chicken, Veggie Bacon, Ike's Red Poppy Sauce, Gouda",1
849,TOROS,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Yellow BBQ Sauce, BBQ Sauce, Provolone",1
679,VEGAN A SANDWICH CALLED QUEST (El Segundo Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Second Sauce, Vegan Cheese",1
217,VEGAN BANANA SLUG,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Vegan Cheese",1
658,VEGAN BARBETTE (Round Rock Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Creamy Habanero, Vegan Cheese",1
694,VEGAN BATTLE BORN DERBY DEMONS (Reno Summit Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Orange Wasabi Sauce, Vegan Cheese",1
868,VEGAN CAMELBACK (Camelback Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's 5C Sauce, Vegan Cheese",1
